Title,Date,"Community (city,town, ward)",LGA,State,Total Deaths,Boko Haram (P),State Actor (P),Sectarian Actor (excluding BH) (P),Other Armed Actor (P),Kidnapper (P),Robber (P),Other (P),Election-related Actor (P),Cameroon State Actor (P),Boko Haram (V),State Actor (V),Sectarian Actor (V),Other Armed Actor (V),Political Actor (V),Kidnapper (V),Kidnapee (V),Robber (V),Journalist (V),Civilian (V),Election-related Actor (V),Cameroon State Actor,Bomb,Gun,Machete,Suicide Bombing,Other Weapon,TK,Drinking Establishment,Goverment Building,Church,Mosque,Bank,School,Other Location,Notes,Sources 1,Sources 2,Sources 3,Latitude,Longitude,full place name,country
District Head Assassinated in Maiduguri,7/26/2011,,Maiduguri,Borno,2,Boko Haram,,,,,,,,,,1,,,,,,,,1,,,,Gun,,,,Targeted Killing,,,,,,,Other,,http://saharareporters.com/news-page/boko-haram-kills-district-head-and-his-9-year-old-daughter,http://www.enownow.com/news/story.php?sno=9811,,,,"Maiduguri, Borno, Nigeria",Nigeria
Jos Bomb Attacks,8/1/2011,Jos,Jos South,Plateau,0,,,Sectarian Actor,,,,,,,,,0,,,,,,,,,,Bomb,,,,,,,,,,,,Other,,http://allafrica.com/stories/201108011444.html,http://www.news24.com/Africa/News/Blasts-target-sect-critics-in-Nigeria-20110801,http://allafrica.com/stories/201108010215.html,,,"Jos South, Plateau, Nigeria",Nigeria
"Police Kill Three, Injure Twenty Alleged Criminals in Anambra",8/1/2011,,Idemili south,Anambra,3,,State Actor,,,,Robber,,,,,,,,,,,2,,1,,,,Gun,,,,,,,,,,,Other,,http://www.businessdayonline.com/NG/index.php/news/76-hot-topic/25442-3-killed-20-injured-in-anambra-gunfight,http://allafrica.com/stories/201108021357.html,,,,"Idemili south, Anambra, Nigeria",Nigeria
Bomb Attack in Maiduguri,8/2/2011,,Maiduguri,Borno,1,Boko Haram,State Actor,,,,,,,,1,,,,,,,,,1,,,Bomb,Gun,,,,,,,,,,,Other,,http://leadership.ng/nga/articles/3123/2011/08/03/explosion_kills_1_maiduguri.html,http://www.vanguardngr.com/2011/08/explosion-rocks-maiduguri-again-2/,,,,"Maiduguri, Borno, Nigeria",Nigeria
MASSOB Shoot-Out in Onitsha,8/3/2011,Onitsha,Onitsha North,Anambra,6,,State Actor,,,,,,,,,,6,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://www.vanguardngr.com/2011/08/6-feared-dead-in-police-massob-clash-in-onitsha/,http://tribune.com.ng/index.php/news/26128-5-killed,,,,"Onitsha North, Anambra, Nigeria",Nigeria
Explosion on Baga Road in Maiduguri,8/4/2011,,Maiduguri,Borno,2,Boko Haram,,,,,,,,,,,,,,,,,,2,,,Bomb,Gun,Machete,,,,,,,,Bank,,,,http://saharareporters.com/news-page/explosion-kills-2-injures-2-maiduguri,http://allafrica.com/stories/201108050413.html,,,,"Maiduguri, Borno, Nigeria",Nigeria
JTF Soldier Kills Girl in Maiduguri,8/6/2011,,Maiduguri,Borno,1,,State Actor,,,,,,,,,,,,,,,,,1,,,,Gun,,,,,,,,,,,Other,,http://saharareporters.com/news-page/7-year-old-girl-shot-dead-nigerian-soldiers-maiduguri,http://allafrica.com/stories/201108082330.html,,,,"Maiduguri, Borno, Nigeria",Nigeria
Miltants Attack Police Convoy in Bauchi,8/6/2011,,Bauchi,Bauchi,0,Boko Haram,,,,,,,,,,0,,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://www.thenationonlineng.net/2011/index.php/news-update/15198-gunmen-attack-patrol-vehicle-in-bauchi.html,,,,,"Bauchi, Bauchi, Nigeria",Nigeria
Police Wounded in Bauchi Explosion,8/7/2011,,Bauchi,Bauchi,0,Boko Haram,,,,,,,,,,0,,,,,,,,,,,Bomb,,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201108081571.html,http://www.tribune.com.ng/index.php/news/26350-6-policemen-1-civilian-injured-in-bauchi-explosion-attack,,,,"Bauchi, Bauchi, Nigeria",Nigeria
Raid in Bisichi,8/8/2011,Bisichi,Jos South,Plateau,2,,,Sectarian Actor,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,Other,,http://allafrica.com/stories/201108100489.html,http://allafrica.com/stories/201108101060.html,,,,"Jos South, Plateau, Nigeria",Nigeria
Teacher Gunned Down in Maiduguri,8/8/2011,,Maiduguri,Borno,1,Boko Haram,,,,,,,,,,,,,,,,,,1,,,,Gun,,,,Targeted Killing,,,,,,,Other,,http://allafrica.com/stories/201108100319.html,,,,,"Maiduguri, Borno, Nigeria",Nigeria
Violence in Bisichi,8/8/2011,Bischi,Jos South,Plateau,2,,,Sectarian Actor,,,,,,,,,2,,,,,,,,,,,,Machete,,,,,,,,,,Other,,http://www.google.com/hostednews/afp/article/ALeqM5gLtiewrlWj-4ewHLQb4F0Y1Fo17Q?docId=CNG.9e214cd05d006bc55e2b5fc33bdea0f3.2e1,,,,,"Jos South, Plateau, Nigeria",Nigeria
Abraka University Violence,8/9/2011,,Asaba,Delta,2,,,Sectarian Actor,,,,,,,,,5,,,,,,,,,,,Gun,,,,,,,,,,School,Other,,http://www.vanguardngr.com/2011/08/2-shot-dead-as-cultists-clash-in-abraka-university/,http://allafrica.com/stories/201108110676.html,,,,"Asaba, Delta, Nigeria",Nigeria
"Arrests, Clashes in Biu",8/9/2011,,Biu,Borno,1,Boko Haram,State Actor,,,,,,,,1,,,,,,,,,,,,,Gun,,,,,,,,,,,Other,,dailytrust.com/index.php?option=com_content&view=article&id=25347:borno-nursing-mother-killed-2-injured-as-soldiers-youths-clash-&catid=2:lead-stories&Itemid=8,"http://www.chicagotribune.com/news/nationworld/sns-ap-af-nigeria-violence,0,5814757.story",,,,"Biu, Borno, Nigeria",Nigeria
Attack on Maiduguri Bank,8/9/2011,,Maiduguri,Borno,2,Boko Haram,,,,,,,,,,0,,,,,,,,2,,,Bomb,Gun,,,,,,Government Building,,,Bank,,,,http://allafrica.com/stories/201108051118.html,http://www.thisdaylive.com/articles/gunmen-open-fire-on-maiduguri-police-station/95976/,,,,"Maiduguri, Borno, Nigeria",Nigeria
Attack on Maiduguri Police Station,8/9/2011,,Maiduguri,Borno,0,Boko Haram,,,,,,,,,,0,,,,,,,,,,,Bomb,Gun,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201108051118.html,http://www.thisdaylive.com/articles/gunmen-open-fire-on-maiduguri-police-station/95976/,,,,"Maiduguri, Borno, Nigeria",Nigeria
Chevron Flow Station Explosion in Delta State,8/11/2011,,Warri North,Delta,0,,,Sectarian Actor,,,,,,,,,,,,,,,,0,,,Bomb,Gun,,,,,,,,,,,Other,,http://www.tribune.com.ng/sat/index.php/news/4970-gunmen-blow-up-chevrons-oil-flow-station.html,http://www.deltans.com/gunmen-blow-up-chevrons-oil-flow-station/,,,,"Warri North, Delta, Nigeria",Nigeria
Muslim Cleric Assassinated in Ngala,8/12/2011,,Ngala,Borno,1,Boko Haram,,,,,,,,,,,1,,,,,,,,,,,Gun,,,,Targeted Killing,,,,,,,Other,,http://www.google.com/hostednews/afp/article/ALeqM5j_bwyEQhz7TS8H7eIWqmmIV9GSjg?docId=CNG.a2db03834cda342663b48fb1e7f322ce.1041,,,,,"Ngala, Borno, Nigeria",Nigeria
Five Die from Excessive Use of Force in Anambra,8/13/2011,Agulu,Anaocha,Anambra,5,,State Actor,,,,,,,,,,,,,,,,,5,,,,Gun,,,,,,,,,,,Other,,http://allafrica.com/stories/201108150567.html,,,,,"Anaocha, Anambra, Nigeria",Nigeria
Jos Reprisal Killings,8/14/2011,Jos,Jos South,Plateau,15,,,Sectarian Actor,,,,,,,,,15,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://allafrica.com/stories/201108170322.html,http://www.thenationonlineng.net/2011/index.php/news/16071-man-loses-seven-children-in-jos-attack.html,,,,"Jos South, Plateau, Nigeria",Nigeria
Attacks in Heipang and Foron,8/15/2011,Jos,Jos South,Plateau,15,,,Sectarian Actor,,,,,,,,4,11,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://www.modernghana.com/news/345302/1/nigeria-attacks-kill-10-spark-protest.html,http://www.tribune.com.ng/index.php/front-page-news/26675-15-killed-in-fresh-hostility-in-plateau,,,,"Jos South, Plateau, Nigeria",Nigeria
Suicide Bomber Dies in Unsuccessful Maiduguri Attack,8/15/2011,,Maiduguri,Borno,1,Boko Haram,State Actor,,,,,,,,1,,,,,,,,,,,,Bomb,Gun,,,,,,Government Building,,,,,,,http://www.trust.org/alertnet/news/bomber-killed-in-failed-attack-on-nigerian-police,http://234next.com/csp/cms/sites/Next/News/National/5738989-146/bomber_killed_in_maiduguri_police_.csp,http://www.bbc.co.uk/news/world-africa-14528418,,,"Maiduguri, Borno, Nigeria",Nigeria
Bank Seige in Gamawa,8/16/2011,,Gamawa,Bauchi,0,Boko Haram,,,,,,,,,,,,,,,,,,0,,,Bomb,Gun,,,,,,,,,Bank,,,,http://www.news24.com/Africa/News/Bank-robbers-bomb-Nigerian-police-station-20110816,http://allafrica.com/stories/201108160966.html,,,,"Gamawa, Bauchi, Nigeria",Nigeria
Police Station Attacked,8/16/2011,,Maiduguri,Borno,2,Boko Haram,,,,,,,,,,,,,,,,,,2,,,Bomb,Gun,,,,,,Government Building,,,Bank,,,,http://allafrica.com/stories/201108051118.html,http://www.thisdaylive.com/articles/gunmen-open-fire-on-maiduguri-police-station/95976/,,,,"Maiduguri, Borno, Nigeria",Nigeria
Attack in Jos,8/18/2011,Jos,Jos South,Plateau,2,,,Sectarian Actor,,,,,,,,,2,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://weeklytrust.com.ng/?option=com_content&view=article&id=6946:2-killed-1-injured-in-another-jos-village-attack&catid=41:news&Itemid=30,http://allafrica.com/stories/201108230371.html,,,,"Jos South, Plateau, Nigeria",Nigeria
